tanggal,lembaga,nama_limbah,volume,satuan,kode,status,ditetapkan_pada,disahkan_pada,disahkan_oleh,dasar,keyakinan,catatan
2026-06-09,Fakultas Matematika dan Ilmu Pengetahuan Alam,"Limbah campuran asam-asam anorganik dalam air: HCl. H2SO4, H3PO4 dalam air",70,Liter,A109d,disahkan,2026-07-10,2026-07-10,Pemilik dashboard PK3L (k.susanto@geophys.unpad.ac.id),PP 22/2021 Lamp. IX Tabel 1 — Limbah asam lainnya yang belum dikodifikasi,tinggi,Campuran asam anorganik; preseden internal A109D konsisten.
2026-06-09,Fakultas Matematika dan Ilmu Pengetahuan Alam,"Limbah cairan basa (KOH, NaOH) dalam air",105,Liter,A108c,disahkan,2026-07-10,2026-07-10,Pemilik dashboard PK3L (k.susanto@geophys.unpad.ac.id),PP 22/2021 Lamp. IX Tabel 1 — Natrium Hidroksida,sedang,"Campuran KOH+NaOH. Tidak ada kode 'basa lainnya'; A108c dipakai sebagai proksi. Bila didominasi KOH, pakai A107c."
2026-06-09,Fakultas Matematika dan Ilmu Pengetahuan Alam,Limbah cairan komplek (Komplek kromium) dalam air,25,Liter,A106d,disahkan,2026-07-10,2026-07-10,Pemilik dashboard PK3L (k.susanto@geophys.unpad.ac.id),PP 22/2021 Lamp. IX Tabel 1 — Limbah laboratorium mengandung B3,sedang,Kompleks kromium — Cr(VI) berbahaya. Pastikan penyimpanan terpisah.
2026-06-09,Fakultas Matematika dan Ilmu Pengetahuan Alam,Alat-alat gelas pecah,15,Kg,B104d,disahkan,2026-07-10,2026-07-10,Pemilik dashboard PK3L (k.susanto@geophys.unpad.ac.id),PP 22/2021 Lamp. IX Tabel 4 (kategori 2) — Kemasan bekas B3,tinggi,"Direvisi dari `A338-2` mengikuti keputusan baris 207 dan konvensi sheet 2026 (baris 6, 11, 20, 33, 48, 125, 127, 131, 138, 153, 158 semuanya `B104D`)."
2026-06-09,Fakultas Matematika dan Ilmu Pengetahuan Alam,Limbah cairan non halogen,50,Liter,A107d,disahkan,2026-07-10,2026-07-10,Pemilik dashboard PK3L (k.susanto@geophys.unpad.ac.id),PP 22/2021 Lamp. IX Tabel 1 — Pelarut bekas lainnya yang belum dikodifikasi,tinggi,"Pelarut non-halogen campuran, tidak terkodifikasi spesifik."
2026-06-09,Fakultas Matematika dan Ilmu Pengetahuan Alam,Limbah sampel padatan dan bahan kimia kadaluarsa,5,Kg,A338-1,disahkan,2026-07-10,2026-07-10,Pemilik dashboard PK3L (k.susanto@geophys.unpad.ac.id),PP 22/2021 Lamp. IX Tabel 3 industri 38 (lab riset) — bahan kimia kedaluwarsa,tinggi,Bahan kimia kedaluwarsa dari lab riset.
2026-06-09,Fakultas Matematika dan Ilmu Pengetahuan Alam,Limbah organik mengandung halogen (Chloform),10,Liter,A107d,disahkan,2026-07-10,2026-07-10,Pemilik dashboard PK3L (k.susanto@geophys.unpad.ac.id),PP 22/2021 Lamp. IX Tabel 1 — Pelarut bekas lainnya yang belum dikodifikasi,sedang,Kloroform TIDAK terdaftar di A101a–A112a. Preseden A101A (Tetrakloroetilen) tidak tepat.
2026-06-09,Fakultas Matematika dan Ilmu Pengetahuan Alam,"Limbah logam berat (Cu, Cr, Pb)",25,Liter,A106d,disahkan,2026-07-10,2026-07-10,Pemilik dashboard PK3L (k.susanto@geophys.unpad.ac.id),PP 22/2021 Lamp. IX Tabel 1 — Limbah laboratorium mengandung B3,sedang,Logam berat Cu/Cr/Pb dari laboratorium.
2026-06-09,Fakultas Matematika dan Ilmu Pengetahuan Alam,Campuran limbah air-minyak-alkohol,25,Liter,A107d,disahkan,2026-07-10,2026-07-10,Pemilik dashboard PK3L (k.susanto@geophys.unpad.ac.id),PP 22/2021 Lamp. IX Tabel 1 — Pelarut bekas lainnya yang belum dikodifikasi,sedang,Preseden B105D KELIRU — B105d adalah minyak pelumas bekas.
2026-06-09,Fakultas Matematika dan Ilmu Pengetahuan Alam,Limbah minyak padat,10,Kg,A108d,disahkan,2026-07-10,2026-07-10,Pemilik dashboard PK3L (k.susanto@geophys.unpad.ac.id),PP 22/2021 Lamp. IX Tabel 1 — Limbah terkontaminasi B3,rendah,Perlu klarifikasi jenis minyak. Bila minyak pelumas bekas → B105d.
2026-06-09,Fakultas Matematika dan Ilmu Pengetahuan Alam,Limbah cairan metilen biru,30,Liter,A106d,disahkan,2026-07-10,2026-07-10,Pemilik dashboard PK3L (k.susanto@geophys.unpad.ac.id),PP 22/2021 Lamp. IX Tabel 1 — Limbah laboratorium mengandung B3,sedang,Preseden B337-1 KELIRU (itu kemasan bekas produk farmasi).
