tanggal,hari,organik_anorganik_kg,sisa_makanan_kg,lingkungan_kg,aset_kg,ipdn_kg,catatan,quality_flag,sumber,dicatat_pada
2026-01-26,Senin,3170,0,0,0,0,,,data/timbulan.json (semai),2026-07-10
2026-01-27,Selasa,3740,0,0,0,0,,,data/timbulan.json (semai),2026-07-10
2026-01-28,Rabu,3470,0,0,0,0,,,data/timbulan.json (semai),2026-07-10
2026-01-29,Kamis,2980,0,0,0,0,,,data/timbulan.json (semai),2026-07-10
2026-01-30,Jumat,1810,0,0,0,0,,,data/timbulan.json (semai),2026-07-10
2026-02-02,Senin,7660,0,0,0,0,,,data/timbulan.json (semai),2026-07-10
2026-02-03,Selasa,5610,0,0,0,0,,,data/timbulan.json (semai),2026-07-10
2026-02-04,Rabu,4199,0,1707,0,0,,,data/timbulan.json (semai),2026-07-10
2026-02-05,Kamis,4500,0,1182,0,0,,,data/timbulan.json (semai),2026-07-10
2026-02-06,Jumat,6060,0,0,467,0,,,data/timbulan.json (semai),2026-07-10
2026-02-09,Senin,7700,0,0,0,0,,,data/timbulan.json (semai),2026-07-10
2026-02-10,Selasa,6300,0,866,0,0,,,data/timbulan.json (semai),2026-07-10
2026-02-11,Rabu,7360,0,1288,0,0,,,data/timbulan.json (semai),2026-07-10
2026-02-12,Kamis,8190,0,0,290,0,,,data/timbulan.json (semai),2026-07-10
2026-02-13,Jumat,3130,0,0,0,0,,,data/timbulan.json (semai),2026-07-10
2026-02-18,Rabu,8650,0,0,0,0,,,data/timbulan.json (semai),2026-07-10
2026-02-19,Kamis,4990,0,0,0,0,,,data/timbulan.json (semai),2026-07-10
2026-02-20,Jumat,2870,0,0,0,0,,,data/timbulan.json (semai),2026-07-10
2026-02-23,Senin,7590,0,0,0,0,,,data/timbulan.json (semai),2026-07-10
2026-02-24,Selasa,3300,0,0,0,0,,,data/timbulan.json (semai),2026-07-10
2026-02-26,Kamis,4760,0,0,0,0,,,data/timbulan.json (semai),2026-07-10
2026-02-27,Jumat,2630,0,0,0,0,,,data/timbulan.json (semai),2026-07-10
2026-03-02,Senin,5870,0,0,0,0,,,data/timbulan.json (semai),2026-07-10
2026-03-03,Selasa,1040,0,0,0,0,,,data/timbulan.json (semai),2026-07-10
2026-03-04,Rabu,5280,0,0,0,0,,,data/timbulan.json (semai),2026-07-10
2026-03-05,Kamis,2490,0,0,0,0,,,data/timbulan.json (semai),2026-07-10
2026-03-06,Jumat,0,7004,0,0,0,,,data/timbulan.json (semai),2026-07-10
2026-03-09,Senin,6900,0,0,0,0,,,data/timbulan.json (semai),2026-07-10
2026-03-10,Selasa,4020,0,0,0,0,,,data/timbulan.json (semai),2026-07-10
